key,image,method,metric,feature,g_x,g_y,r_x,r_y,levels,score_g,score_r,align_s,plate_h,plate_w,note
l2/extra_ikona,extra_ikona,pyramid,l2,raw,50,61,72,142,4,352.564242,409.94323,3.631,3231,3723,
l2/extra_matrosi,extra_matrosi,pyramid,l2,raw,18,21,30,56,4,298.535075,455.380761,4.701,3202,3663,
l2/extra_stained,extra_stained,pyramid,l2,raw,16,19,270,-255,4,631.881958,781.728332,3.057,3205,3702,
l2/harvesters,harvesters,pyramid,l2,raw,16,59,13,124,4,621.638609,673.869009,3.468,3218,3683,
l2/icon,icon,pyramid,l2,raw,17,41,23,90,4,596.874837,750.822823,3.399,3244,3741,
l2/ilemselga,ilemselga,pyramid,l2,raw,7,39,11,130,4,632.021118,790.177338,4.618,3270,3800,
l2/melons,melons,pyramid,l2,raw,11,82,13,178,4,323.065417,503.721704,3.08,3241,3770,
l2/monastery,monastery,pyramid,l2,raw,2,-3,2,3,0,29.883968,57.56102,0.201,341,391,
l2/religous_painting,religous_painting,pyramid,l2,raw,3,28,7,68,4,407.499836,482.281167,3.748,3193,3742,
l2/self_portrait,self_portrait,pyramid,l2,raw,29,79,37,176,4,405.818364,405.963396,4.064,3251,3810,
l2/siren,siren,pyramid,l2,raw,-6,49,-25,96,4,636.314356,683.530483,3.218,3250,3817,
l2/three_generations,three_generations,pyramid,l2,raw,14,53,11,112,4,357.352972,333.913494,3.951,3209,3714,
l2/tobolsk,tobolsk,pyramid,l2,raw,3,3,3,6,0,32.209047,57.172629,0.178,341,396,
l2/wharf,wharf,pyramid,l2,raw,-7,15,-16,83,4,334.189646,410.304242,3.747,3244,3761,
